epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,66729.1,0.53181,0.31015,0.94981,0.87121,0.85775,0.89033,0.73761,0.50588,0.25392,0.91281,0.00103967,0.000346556,0.00103967,0.000346556,0.00103967,0.000346556,0.00103967,0.000346556
52,68130.4,0.52181,0.30646,0.94388,0.91066,0.83548,0.89776,0.73815,0.50795,0.25589,0.91504,0.00100592,0.000335307,0.00100592,0.000335307,0.00100592,0.000335307,0.00100592,0.000335307
53,69487.2,0.52891,0.305,0.94458,0.91114,0.85292,0.89977,0.73701,0.50848,0.25037,0.91102,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058
54,71481.2,0.5266,0.29945,0.93816,0.90568,0.85658,0.89784,0.73964,0.51221,0.25119,0.91507,0.000938429,0.00031281,0.000938429,0.00031281,0.000938429,0.00031281,0.000938429,0.00031281
55,72254.7,0.51738,0.29557,0.93732,0.86198,0.86055,0.89366,0.73947,0.51122,0.25059,0.9172,0.000904682,0.000301561,0.000904682,0.000301561,0.000904682,0.000301561,0.000904682,0.000301561
56,73244.5,0.5131,0.29215,0.93536,0.91025,0.84409,0.89618,0.73744,0.51346,0.24879,0.91575,0.000870936,0.000290312,0.000870936,0.000290312,0.000870936,0.000290312,0.000870936,0.000290312
57,74347.1,0.51062,0.29355,0.93282,0.90772,0.84858,0.89482,0.74178,0.51553,0.25103,0.91402,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
58,76812.2,0.51133,0.29235,0.92766,0.89386,0.85188,0.88649,0.73039,0.51306,0.24701,0.91206,0.000803442,0.000267814,0.000803442,0.000267814,0.000803442,0.000267814,0.000803442,0.000267814
59,77908.5,0.51113,0.28653,0.92762,0.8998,0.84277,0.88645,0.73143,0.50911,0.24833,0.90933,0.000769696,0.000256565,0.000769696,0.000256565,0.000769696,0.000256565,0.000769696,0.000256565
60,79217.5,0.49721,0.28213,0.92598,0.89965,0.83251,0.88282,0.73265,0.51226,0.2509,0.90904,0.000735949,0.000245316,0.000735949,0.000245316,0.000735949,0.000245316,0.000735949,0.000245316
61,80491.8,0.49141,0.2803,0.91918,0.88946,0.84093,0.895,0.74324,0.50949,0.24558,0.90894,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068
62,83082.3,0.49629,0.28514,0.92469,0.90873,0.83406,0.89227,0.73806,0.50848,0.24743,0.90783,0.000668456,0.000222819,0.000668456,0.000222819,0.000668456,0.000222819,0.000668456,0.000222819
63,84202,0.49502,0.28332,0.92576,0.93908,0.83982,0.90692,0.74537,0.51182,0.2457,0.91001,0.000634709,0.00021157,0.000634709,0.00021157,0.000634709,0.00021157,0.000634709,0.00021157
64,85907.5,0.48522,0.27839,0.92006,0.90863,0.82818,0.89539,0.74658,0.50664,0.24194,0.90567,0.000600963,0.000200321,0.000600963,0.000200321,0.000600963,0.000200321,0.000600963,0.000200321
65,87104.5,0.47686,0.27494,0.9163,0.92527,0.83606,0.89655,0.74368,0.51296,0.24362,0.91252,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
66,87718.6,0.47498,0.26895,0.91645,0.93514,0.83281,0.89963,0.7463,0.51373,0.24606,0.91439,0.000533469,0.000177823,0.000533469,0.000177823,0.000533469,0.000177823,0.000533469,0.000177823
67,88637.2,0.49001,0.28209,0.92731,0.92175,0.85025,0.89681,0.74077,0.51336,0.24329,0.91539,0.000499723,0.000166574,0.000499723,0.000166574,0.000499723,0.000166574,0.000499723,0.000166574
68,89310.1,0.47938,0.27725,0.91727,0.91067,0.86079,0.89986,0.74466,0.51092,0.24357,0.91501,0.000465976,0.000155325,0.000465976,0.000155325,0.000465976,0.000155325,0.000465976,0.000155325
69,90410,0.45902,0.26484,0.90943,0.93009,0.85739,0.90566,0.7519,0.50916,0.2468,0.91552,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077
70,91281.4,0.47606,0.26762,0.91779,0.92475,0.85338,0.90036,0.75009,0.5114,0.24616,0.92107,0.000398483,0.000132828,0.000398483,0.000132828,0.000398483,0.000132828,0.000398483,0.000132828
71,92250.1,0.43497,0.22233,0.89862,0.89667,0.84572,0.89498,0.7466,0.51362,0.24798,0.92265,0.000364736,0.000121579,0.000364736,0.000121579,0.000364736,0.000121579,0.000364736,0.000121579
72,93549.5,0.42173,0.21326,0.88775,0.93216,0.84259,0.90286,0.74717,0.51472,0.24272,0.9217,0.00033099,0.00011033,0.00033099,0.00011033,0.00033099,0.00011033,0.00033099,0.00011033
73,94813.2,0.41829,0.2121,0.88307,0.92092,0.85271,0.90117,0.75252,0.51517,0.24297,0.91983,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05
74,95652.1,0.40896,0.20949,0.87776,0.9241,0.85357,0.89687,0.74917,0.51381,0.24053,0.92087,0.000263496,8.78321e-05,0.000263496,8.78321e-05,0.000263496,8.78321e-05,0.000263496,8.78321e-05
75,96707.6,0.40906,0.20558,0.88785,0.92363,0.84805,0.8981,0.748,0.51376,0.24047,0.92101,0.00022975,7.65832e-05,0.00022975,7.65832e-05,0.00022975,7.65832e-05,0.00022975,7.65832e-05
76,97547,0.40527,0.20498,0.87977,0.92204,0.84191,0.89731,0.74661,0.51612,0.24081,0.92305,0.000196003,6.53344e-05,0.000196003,6.53344e-05,0.000196003,6.53344e-05,0.000196003,6.53344e-05
77,98365.6,0.40369,0.20345,0.87831,0.92839,0.84575,0.89727,0.74938,0.51409,0.2423,0.92463,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05
78,100444,0.39986,0.20353,0.87829,0.92846,0.84899,0.89958,0.74736,0.5132,0.23946,0.92295,0.00012851,4.28366e-05,0.00012851,4.28366e-05,0.00012851,4.28366e-05,0.00012851,4.28366e-05
79,101266,0.39891,0.20026,0.87388,0.9281,0.84572,0.89735,0.74869,0.51296,0.23946,0.92335,9.47633e-05,3.15878e-05,9.47633e-05,3.15878e-05,9.47633e-05,3.15878e-05,9.47633e-05,3.15878e-05
80,102699,0.39883,0.20202,0.87703,0.9302,0.84159,0.89664,0.74903,0.51292,0.23925,0.92336,6.10166e-05,2.03389e-05,6.10166e-05,2.03389e-05,6.10166e-05,2.03389e-05,6.10166e-05,2.03389e-05
